Family,Genus,Species,Binomial,X_For_Partition,Binomial_2,No_VF,RNA,DNA,Retro,Zoo,RWL,log_AR,AR,log_Forearm,Forearm,log_Mass,Mass,Pulse,sqrt_Rarea,Range_Area,Median_Y_Lat,Median_X_Long,Sympatry,log_Median,Group Size,Roost,Lifespan,Torpor,Diet_2,Migration,Status,Trend,sin_Citations,sin_No_Mixed,Residuals,PhyloClust56,PhyloClust41
Pteropodidae,Hypsignathus,monstrosus,Hypsignathus monstrosus,188,Hypsignathus_monstrosus,1,1,0,0,1,48.20558231,0.826074803,6.700000005,2.069390563,117.325,2.491361694,310.0000001,2,NA,NA,NA,NA,NA,NA,NA,F,NA,NT,Phyto,NA,LC,U,3.402306645,NA,NA,PC7,PC41
Pteropodidae,Megaerops,kusnotoi,Megaerops kusnotoi,189,Megaerops_kusnotoi,1,1,0,0,1,NA,NA,NA,1.710286648,51.32000004,NA,NA,NA,118.7598433,14103.90038,-8.0342598,113.5540009,68,NA,NA,NA,NA,NA,Phyto,NA,V,D,0,NA,5.697162371,PC7,PC42
Pteropodidae,Myonycteris,torquata,Myonycteris torquata,190,Myonycteris_torquata,1,1,0,0,1,NA,NA,NA,1.78490245,60.94000002,1.561101384,36.40000003,2,1910.617701,3650459.999,-1.04987,19.5949001,128,NA,NA,NA,NA,NA,Phyto,Y,LC,S,3.179785438,NA,-31.98847101,PC7,PC41
Pteropodidae,Pteropus,conspicillatus,Pteropus conspicillatus,191,Pteropus_conspicillatus,1,1,0,0,1,NA,NA,NA,2.240698979,174.0599999,2.875061263,749.9999993,NA,468.530682,219521,-5.50913,139.3450012,97,NA,NA,NA,NA,NA,Phyto,NA,LC,S,4.025670416,NA,15.62891666,PC7,PC38
Rhinolophidae,Rhinolophus,cornutus,Rhinolophus cornutus,192,Rhinolophus_cornutus,1,1,0,0,1,NA,NA,NA,1.596597096,39.50000003,0.819543936,6.600000007,NA,NA,NA,NA,NA,NA,NA,NA,CV,NA,H,Pred,NA,NA,NA,2.893443986,0.881373587,NA,PC5,PC25
Rhinolophidae,Rhinolophus,eloquens,Rhinolophus eloquens,193,Rhinolophus_eloquens,1,1,0,0,0,NA,NA,NA,1.778332169,60.02500004,1.281033367,19.09999999,NA,843.738111,711894,1.14678,34.3328018,129,NA,NA,NA,NA,NA,Pred,NA,LC,U,0,NA,27.1739597,PC5,PC25
Rhinolophidae,Rhinolophus,rouxii,Rhinolophus rouxii,194,Rhinolophus_rouxii,1,1,0,0,1,NA,NA,NA,1.690107439,48.98999995,1.088136089,12.25000001,1,929.283595,863567.9999,17.3409996,81.2753983,112,3.000650954,1001.500001,G,60,NT,Pred,NA,LC,U,5.36599785,NA,5.510328179,PC5,PC25
Vespertilionidae,Eptesicus,nilssoni,Eptesicus nilssoni,195,Eptesicus_nilssoni,1,1,0,0,1,38.6564893,0.819543936,6.600000007,1.607455023,40.49999998,1.030194785,10.71999999,1,NA,NA,NA,NA,NA,1.653212514,45.00000002,G,NA,H,Pred,N,LC,S,4.585071586,NA,NA,PC1,PC1
Vespertilionidae,Lasiurus,cinereus,Lasiurus cinereus,196,Lasiurus_cinereus,1,1,0,0,1,51.44138239,0.908485019,8.100000002,1.653212514,45.00000002,1.432327792,27.05999998,1,4591.252552,21079600,20.3852997,-84.4279022,274,0,1,G,25.2,H,Pred,Y,LC,U,6.226540575,0,-32.12702332,PC1,PC2
Vespertilionidae,Myotis,californicus,Myotis californicus,197,Myotis_californicus,1,1,0,0,0,29.75030852,0.748188027,5.6,1.520352504,33.13999999,0.64246452,4.389999998,1,1996.063626,3984269.999,34.0852013,-111.5510025,123,0,1,G,180,H,Pred,NA,LC,U,4.060740143,NA,-41.64667493,PC1,PC4
Vespertilionidae,Myotis,evotis,Myotis evotis,198,Myotis_evotis,1,1,0,0,1,31.44528595,0.77815125,5.999999995,1.564902673,36.72000004,0.839478047,6.909999994,1,1778.558405,3163270,43.0499001,-114.9179993,34,1.322219295,21.00000001,G,NA,H,Pred,Y,LC,S,4.564456681,0.881373587,-118.7890741,PC1,PC4
Vespertilionidae,Myotis,riparius,Myotis riparius,199,Myotis_riparius,1,1,0,0,1,NA,NA,NA,1.550228353,35.5,0.900367129,7.950000006,1,3756.314683,14109900,-8.14678,-59.0819016,263,NA,NA,NA,NA,NA,Pred,NA,LC,S,2.99822295,NA,2.390780566,PC1,PC4
Vespertilionidae,Myotis,volans,Myotis volans,200,Myotis_volans,1,1,0,0,1,38.02480357,0.793790385,6.220000004,1.574031268,37.50000002,0.940018155,8.71,1,2170.651976,4711730.001,40.1922989,-113.7659988,88,NA,NA,G,51,H,Pred,Y,LC,S,4.060740143,NA,-86.16460264,PC1,PC4
Vespertilionidae,Plecotus,austriacus,Plecotus austriacus,201,Plecotus_austriacus,1,0,1,0,0,36.66855179,0.785329835,6.1,1.598790507,39.70000002,0.829303773,6.750000003,NA,1746.187275,3049169.999,45.4104004,10.7475996,38,1.176091259,15,G,180,H,Pred,N,LC,U,4.159127135,NA,-113.0243167,PC1,PC1
Hipposideridae,Aselliscus,stoliczkanus,Aselliscus stoliczkanus,202,Aselliscus_stoliczkanus,1,1,0,0,1,27.27219429,0.752048448,5.650000002,1.617943435,41.49000002,0.69019608,4.9,1,1167.176079,1362299.999,21.8546009,102.4929962,135,NA,NA,NA,NA,NA,Pred,NA,LC,U,3.093102195,NA,15.54128721,PC5,PC29
Phyllostomidae,Phyllostomus,discolor,Phyllostomus discolor,203,Phyllostomus_discolor,1,1,0,0,0,45.38227571,0.819543936,6.600000007,1.78604121,61.09999997,1.563481085,36.59999997,NA,3535.222765,12497800,-5.1360202,-59.9911995,275,2.303196057,200.9999998,G,NA,NA,NA,N,LC,S,5.488954801,3.179785438,26.44391522,PC3,PC12
Rhinolophidae,Rhinolophus,blasii,Rhinolophus blasii,204,Rhinolophus_blasii,1,1,0,0,1,NA,NA,NA,1.648262406,44.49000003,1.012415375,10.29000001,NA,1846.764739,3410540.001,24.4172993,40.1077995,154,NA,NA,G,NA,H,Pred,N,LC,D,2.99822295,2.094712547,-2.507437617,PC5,PC25
Rhinolophidae,Rhinolophus,landeri,Rhinolophus landeri,205,Rhinolophus_landeri,1,1,0,0,1,32.2102404,0.785329835,6.1,1.638489257,43.5,0.986771734,9.699999994,1,3481.019965,12117500,0.459592,19.3514004,186,2.699404082,500.5000002,G,NA,NA,Pred,Y,LC,U,1.818446459,2.776472281,-59.60114344,PC5,PC25
Phyllostomidae,Anoura,geoffroyi,Anoura geoffroyi,206,Anoura_geoffroyi,1,1,0,0,1,51.74125703,0.857332496,7.199999993,1.630020851,42.65999999,1.204119983,16.00000001,1,2864.583739,8205839.998,-3.90136,-63.7318993,296,1.06069784,11.49999999,G,120,NT,Phyto,NA,LC,S,4.330906426,3.784705763,84.00473825,PC3,PC12
Phyllostomidae,Artibeus,phaeotis,Artibeus phaeotis,207,Artibeus_phaeotis,1,1,0,0,0,43.9804957,0.799340549,6.299999993,1.586024382,38.54999997,1.071882007,11.79999999,2,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,Phyto,NA,LC,S,1.443635475,NA,NA,PC3,PC12
Rhinolophidae,Rhinolophus,euryale,Rhinolophus euryale,208,Rhinolophus_euryale,1,1,0,0,0,36.53223025,0.792391689,6.199999993,1.67669361,47.50000004,0.966141733,9.250000006,1,1729.985549,2992850,39.4859009,15.7686005,57,2.875350697,750.5000007,G,NA,H,Pred,N,NT,D,4.477465922,1.818446459,-93.141057,PC5,PC25
Phyllostomidae,Uroderma,bilobatum,Uroderma bilobatum,209,Uroderma_bilobatum,1,0,0,1,0,40.59580274,0.799340549,6.299999993,1.633468456,43.00000004,1.209515015,16.20000002,2,3576.856161,12793900,-5.2691002,-60.3568993,278,1.484299839,30.49999998,F,NA,NA,Phyto,NA,LC,S,4.219723898,NA,27.1742125,PC3,PC12
Pteropodidae,Megaerops,niphanae,Megaerops niphanae,210,Megaerops_niphanae,1,1,0,0,0,NA,NA,NA,1.757168192,57.16999997,1.5132176,32.59999999,NA,1149.52164,1321400.001,17.4825001,102.4380035,128,NA,NA,NA,NA,NA,Phyto,NA,LC,U,0.881373587,NA,9.503743601,PC7,PC42
Vespertilionidae,Murina,ussuriensis,Murina ussuriensis,211,Murina_ussuriensis,1,1,0,0,0,NA,NA,NA,1.491221576,30.98999998,0.671172843,4.690000003,NA,558.0600326,311431,42.1851006,136.8650055,27,1.079181246,12,G,NA,NA,Pred,NA,LC,U,2.893443986,NA,-59.25190092,PC1,PC4
Vespertilionidae,Myotis,siligorensis,Myotis siligorensis,212,Myotis_siligorensis,1,1,0,0,0,31.78487279,0.741151599,5.510000002,1.518382316,32.99000003,0.539076099,3.460000002,NA,1144.434358,1309730,19.4540997,100.7949982,194,NA,NA,NA,NA,NA,Pred,NA,LC,U,1.443635475,NA,75.78108388,PC1,PC4
Vespertilionidae,Pipistrellus,coromandra,Pipistrellus coromandra,213,Pipistrellus_coromandra,1,1,0,0,0,NA,NA,NA,1.484299839,30.49999998,0.662757832,4.600000003,NA,1912.072174,3656019.999,20.7021999,91.4545975,164,NA,NA,NA,NA,NA,Pred,N,LC,U,2.094712547,NA,3.932236365,PC1,PC1
Vespertilionidae,Pipistrellus,hesperidus,Pipistrellus hesperidus,214,Pipistrellus_hesperidus,1,1,0,0,0,NA,NA,NA,NA,NA,0.730782276,5.380000004,NA,1265.211445,1600760.001,-3.18432,33.0494003,177,NA,NA,NA,NA,NA,Pred,NA,LC,U,2.094712547,NA,52.19675232,PC1,PC1
Vespertilionidae,Plecotus,rafinesquii,Plecotus rafinesquii,215,Plecotus_rafinesquii,1,0,1,0,0,29.14020801,0.770852012,5.900000005,1.61436984,41.15000004,0.919078092,8.299999993,1,NA,NA,NA,NA,NA,1.707570176,50.99999999,G,NA,H,Pred,NA,LC,I,2.776472281,2.893443986,NA,PC1,PC1
Emballonuridae,Rhynchonycteris,naso,Rhynchonycteris naso,216,Rhynchonycteris_naso,0,0,0,0,0,27.3178754,0.821731822,6.633333338,1.581038949,38.11000002,0.579783597,3.800000003,2,3392.167449,11506800,-3.8596001,-60.5741997,274,1.397940009,25.00000002,G,NA,NA,Pred,NA,LC,U,3.093102195,0,33.24277555,PC4,PC19
Emballonuridae,Taphozous,mauritianus,Taphozous mauritianus,217,Taphozous_mauritianus,0,0,0,0,0,52,1.004321374,10.10000001,1.791866015,61.925,1.462397998,29.00000001,1,3186.330177,10152700,-5.47507,24.9087009,208,0,1,NA,NA,NA,Pred,Y,LC,U,2.094712547,0.881373587,-21.53571813,PC4,PC21
Hipposideridae,Hipposideros,bicolor,Hipposideros bicolor,218,Hipposideros_bicolor,0,0,0,0,0,33.20467791,0.792391689,6.199999993,1.650064561,44.67499998,0.923761961,8.390000003,1,1258.741435,1584430,0.0792798,109.1669998,180,NA,NA,NA,NA,NA,Pred,NA,LC,S,3.179785438,NA,55.54947395,PC5,PC27
Hipposideridae,Hipposideros,fuliginosus,Hipposideros fuliginosus,219,Hipposideros_fuliginosus,0,0,0,0,0,NA,NA,NA,1.778078862,59.99000001,1.492900011,31.10999999,NA,1155.218594,1334530,2.85548,14.7412004,125,NA,NA,NA,NA,NA,Pred,NA,LC,D,0.881373587,NA,6.193166198,PC5,PC27
Hipposideridae,Hipposideros,speoris,Hipposideros speoris,220,Hipposideros_speoris,0,0,0,0,0,40.01834386,0.812913357,6.500000005,1.711722892,51.49000002,1.06069784,11.49999999,1,1106.60291,1224570,16.3498001,78.1204987,68,NA,NA,G,NA,NA,Pred,NA,LC,S,4.276858964,NA,-48.1564819,PC5,PC27
Miniopteridae,Miniopterus,minor,Miniopterus minor,221,Miniopterus_minor,0,0,0,0,0,NA,NA,NA,NA,NA,1.000434077,10.00999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,DD,U,2.094712547,NA,NA,PC1,PC6
Miniopteridae,Miniopterus,tristis,Miniopterus tristis,222,Miniopterus_tristis,0,0,0,0,0,NA,NA,NA,1.729367305,53.62499998,1.193124598,15.59999999,NA,NA,NA,NA,NA,NA,NA,NA,CV,NA,NA,Pred,NA,LC,U,0,NA,NA,PC1,PC6
Molossidae,Eumops,perotis,Eumops perotis,223,Eumops_perotis,0,0,0,0,0,66.61250934,0.977723605,9.499999994,1.892928982,78.14999994,1.67669361,47.50000004,1,3419.780695,11694900,-7.3218198,-62.5063019,225,2,100,G,NA,T,Pred,N,LC,D,3.527224456,3.527224456,-17.26259912,PC1,PC7
Molossidae,Molossops,neglectus,Molossops neglectus,224,Molossops_neglectus,0,0,0,0,0,NA,NA,NA,1.550105999,35.48999997,0.839478047,6.909999994,NA,1969.746177,3879900.002,-6.01127,-63.2986984,186,NA,NA,NA,NA,NA,Pred,NA,DD,U,2.893443986,NA,22.78805755,PC1,PC7
Natalidae,Natalus,stramineus,Natalus stramineus,225,Natalus_stramineus,0,0,0,0,0,23.49864821,0.745855195,5.569999998,1.589502796,38.85999998,0.754348336,5.680000004,1,63.71750091,4059.919922,15.8724003,-61.4933014,16,2.477121255,300.0000002,CV,57.96,NT,Pred,Y,LC,S,3.829113652,NA,-43.30212747,PC2,PC9
Phyllostomidae,Chrotopterus,auritus,Chrotopterus auritus,226,Chrotopterus_auritus,0,0,0,0,0,34.45112655,0.747411808,5.590000001,1.916769684,82.55999995,1.893539844,78.26000008,1,3621.670885,13116500,-6.69065,-59.2081985,265,0.602059991,3.999999997,G,NA,NA,Pred,NA,LC,S,3.784705763,2.893443986,11.73107524,PC3,PC12
Phyllostomidae,Diaemus,youngi,Diaemus youngi,227,Diaemus_youngi,0,0,0,0,0,52.04264724,0.929418926,8.500000006,1.697882909,49.87500004,1.539076099,34.60000002,NA,3613.61315,13058200,-7.1458101,-58.7374001,274,1.477121255,30.00000002,G,NA,NA,NA,N,LC,U,3.689503869,2.893443986,21.17035392,PC3,PC12
Phyllostomidae,Glossophaga,morenoi,Glossophaga morenoi,228,Glossophaga_morenoi,0,0,0,0,0,NA,NA,NA,1.537819095,34.49999999,0.931457871,8.540000006,NA,571.8846037,327051.9999,17.8064995,-98.0960007,114,NA,NA,G,NA,NA,Phyto,NA,LC,S,2.094712547,NA,26.99443328,PC3,PC12
Phyllostomidae,Leptonycteris,curasoae,Leptonycteris curasoae,229,Leptonycteris_curasoae,0,0,0,0,0,NA,NA,NA,1.722551662,52.79,1.389166084,24.49999998,1,916.9296592,840759.9999,8.0243597,-70.5465012,164,3.397940009,2500.000002,CV,NA,NT,Phyto,Y,V,D,5.393648207,NA,58.18382024,PC3,PC12
Phyllostomidae,Lonchophylla,robusta,Lonchophylla robusta,230,Lonchophylla_robusta,0,0,0,0,0,NA,NA,NA,1.62838893,42.5,1.137354111,13.71999999,1,1056.517865,1116229.999,5.1557698,-75.7529984,211,NA,NA,C,NA,NA,Phyto,NA,LC,U,1.818446459,NA,97.57397427,PC3,PC12
Phyllostomidae,Lophostoma,brasiliense,Lophostoma brasiliense,231,Lophostoma_brasiliense,0,0,0,0,0,38.4415,0.706393434,5.086200005,1.562292864,36.49999996,0.989449818,9.760000007,2,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,Pred,NA,LC,S,2.312438341,NA,NA,PC3,PC12
Phyllostomidae,Lophostoma,silvicolum,Lophostoma silvicolum,232,Lophostoma_silvicolum,0,0,0,0,0,33.5559,0.722938151,5.283699999,1.736396502,54.49999997,1.509202522,32.29999998,2,2773.117379,7690179.998,-3.0248599,-62.9098015,242,0.977723605,9.499999994,G,NA,NA,Pred,NA,LC,U,3.259572556,0.881373587,34.99115459,PC3,PC12
Phyllostomidae,Macrotus,californicus,Macrotus californicus,233,Macrotus_californicus,0,0,0,0,0,42.22086573,0.806179974,6.4,1.703978825,50.58,1.072984745,11.83000001,1,801.7867547,642862,30.4778996,-111.8479996,66,NA,NA,G,124.8,NT,Pred,Y,LC,S,4.68221695,NA,-33.53900353,PC3,PC12
Phyllostomidae,Micronycteris,megalotis,Micronycteris megalotis,234,Micronycteris_megalotis,0,0,0,0,0,37.98132202,0.748188027,5.6,1.517195898,32.9,0.812913357,6.500000005,2,3477.556613,12093400,-6.1428499,-59.1230011,248,1.146128036,14.00000001,G,NA,NT,Pred,NA,LC,U,2.893443986,3.527224456,2.587666028,PC3,PC12
Phyllostomidae,Mimon,crenulatum,Mimon crenulatum,235,Mimon_crenulatum,0,0,0,0,0,32.99117477,0.919078092,8.299999993,1.685741739,48.50000004,1.071882007,11.79999999,1,3336.914743,11135000,-4.2572598,-59.8899002,262,NA,NA,G,NA,NA,Pred,NA,LC,S,3.093102195,NA,24.25495397,PC3,PC12
Phyllostomidae,Tonatia,bidens,Tonatia bidens,236,Tonatia_bidens,0,0,0,0,0,37.27747564,0.707570176,5.099999999,1.755874856,57.00000004,1.46834733,29.39999997,2,1412.01983,1993800,-20.0962009,-50.2946014,118,NA,NA,NA,NA,NA,Pred,NA,DD,U,2.893443986,NA,-14.8067118,PC3,PC12
Pteropodidae,Macroglossus,minimus,Macroglossus minimus,237,Macroglossus_minimus,0,0,0,0,0,51.65676305,0.812913357,6.500000005,1.602059991,39.99999997,1.164352856,14.60000001,3,1894.774393,3590170,-1.65075,122.2770004,342,NA,NA,G,NA,T,Phyto,N,LC,S,3.093102195,NA,182.8752491,PC7,PC40
Pteropodidae,Pteropus,admiralitatum,Pteropus admiralitatum,238,Pteropus_admiralitatum,0,0,0,0,0,NA,NA,NA,2.06069784,114.9999999,2.523746467,334.0000001,NA,275.3808301,75834.60159,-6.0895901,153.5549927,56,NA,NA,G,NA,NA,Phyto,NA,LC,U,0,NA,-14.84124944,PC7,PC38
Pteropodidae,Pteropus,capistratus,Pteropus capistratus,239,Pteropus_capistratus,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,210.168738,44170.89843,-5.2323599,150.772995,47,NA,NA,NA,NA,NA,Phyto,NA,NT,D,0,NA,-20.28612117,PC7,PC38
Pteropodidae,Pteropus,neohibernicus,Pteropus neohibernicus,240,Pteropus_neohibernicus,0,0,0,0,0,NA,NA,NA,2.290324045,195.1300002,2.924279286,839.9999999,NA,820.0902389,672547.9999,-5.3758798,141.2949982,83,NA,NA,F,NA,NA,Phyto,NA,LC,U,0.881373587,NA,-17.53684353,PC7,PC38
Pteropodidae,Syconycteris,australis,Syconycteris australis,241,Syconycteris_australis,0,0,0,0,0,51.72517879,0.792391689,6.199999993,1.635986112,43.25000002,1.167317335,14.70000001,2,1026.601188,1053909.999,-7.48739,141.9060059,132,NA,NA,F,NA,T,Phyto,N,LC,S,4.897895487,NA,20.2049237,PC7,PC40
Rhinolophidae,Rhinolophus,denti,Rhinolophus denti,242,Rhinolophus_denti,0,0,0,0,0,NA,NA,NA,1.602059991,39.99999997,0.799340549,6.299999993,NA,1305.055554,1703169.999,-13.2770996,12.0946999,85,NA,NA,G,NA,NA,Pred,NA,LC,U,1.818446459,NA,-41.97540492,PC5,PC25
Rhinolophidae,Rhinolophus,hildebrandti,Rhinolophus hildebrandti,243,Rhinolophus_hildebrandti,0,0,0,0,0,33.83430951,0.832508913,6.800000005,1.809559715,64.50000005,1.463892989,29.1,1,NA,NA,NA,NA,NA,1.748188027,56,G,NA,NA,Pred,NA,LC,U,2.312438341,1.443635475,NA,PC5,PC25
Rhinolophidae,Rhinolophus,rex,Rhinolophus rex,244,Rhinolophus_rex,0,0,0,0,0,NA,NA,NA,1.785258633,60.98999995,1.513483957,32.62000002,NA,230.1373486,52963.19922,27.8567009,107.1360016,43,NA,NA,CV,NA,NA,Pred,NA,LC,D,1.443635475,NA,-25.37473787,PC5,PC25
Rhinolophidae,Rhinolophus,stheno,Rhinolophus stheno,245,Rhinolophus_stheno,0,0,0,0,0,NA,NA,NA,1.663700925,46.09999996,0.929418926,8.500000006,NA,1484.375289,2203369.999,10.9335003,102.7300034,179,NA,NA,G,NA,NA,Pred,NA,LC,S,1.818446459,0.881373587,42.24872931,PC5,PC25
Rhinolophidae,Rhinolophus,thomasi,Rhinolophus thomasi,246,Rhinolophus_thomasi,0,0,0,0,0,NA,NA,NA,1.685741739,48.50000004,0.954242509,8.999999991,NA,1186.343121,1407410.001,20.4976006,102.3379974,131,NA,NA,CV,NA,NA,Pred,NA,LC,U,0.881373587,1.443635475,10.49636914,PC5,PC25
Vespertilionidae,Barbastella,barbastellus,Barbastella barbastellus,247,Barbastella_barbastellus,0,0,0,0,0,41.82432918,0.77815125,5.999999995,1.585347911,38.48999999,0.763427994,5.800000006,1,1951.245756,3807360,47.1772995,15.1476002,50,1.243038049,17.50000001,G,252,H,Pred,Y,NT,D,5.192987714,1.818446459,-112.2033662,PC1,PC1
Vespertilionidae,Eptesicus,hottentotus,Eptesicus hottentotus,248,Eptesicus_hottentotus,0,0,0,0,0,45.05617128,0.857332496,7.199999993,1.694605199,49.50000001,1.48187241,30.32999998,NA,1689.171395,2853300.002,-22.7763004,25.4507008,90,NA,NA,G,NA,NA,Pred,NA,LC,U,1.818446459,NA,-57.91601639,PC1,PC1
Vespertilionidae,Glauconycteris,argentata,Glauconycteris argentata,249,Glauconycteris_argentata,0,0,0,0,0,NA,NA,NA,1.607455023,40.49999998,0.968482949,9.30000001,NA,1998.969735,3995880.001,-2.9114699,23.4813004,150,0.397940009,2.500000002,NA,NA,NA,Pred,NA,LC,U,0,NA,-14.80510552,PC1,PC1
Vespertilionidae,Histiotus,macrotus,Histiotus macrotus,250,Histiotus_macrotus,0,0,0,0,0,NA,NA,NA,1.685741739,48.50000004,1.041392685,11,NA,679.7926154,462118,-32.3685989,-68.9247971,40,NA,NA,NA,NA,NA,Pred,NA,LC,U,2.312438341,NA,-52.88832266,PC1,PC1
Vespertilionidae,Lasiurus,egregius,Lasiurus egregius,251,Lasiurus_egregius,0,0,0,0,0,NA,NA,NA,1.690107439,48.98999995,1.240798771,17.41,NA,1150.065216,1322650.001,-0.346298,-69.9788971,198,NA,NA,NA,NA,NA,Pred,N,DD,U,1.443635475,NA,79.4741098,PC1,PC2
Vespertilionidae,Murina,aurata,Murina aurata,252,Murina_aurata,0,0,0,0,0,NA,NA,NA,1.477121255,30.00000002,0.630427875,4.27,NA,559.7749548,313348,23.7194004,101.8799973,123,NA,NA,NA,NA,NA,Pred,NA,LC,U,1.443635475,NA,36.65460771,PC1,PC4
Vespertilionidae,Myotis,albescens,Myotis albescens,253,Myotis_albescens,0,0,0,0,0,34.47060098,0.838849091,6.900000004,1.536979025,34.43333002,0.602059991,3.999999997,2.5,3820.287947,14594600,-8.3476496,-59.4584999,275,NA,NA,G,NA,NA,Pred,NA,LC,S,2.491779853,2.491779853,10.90318874,PC1,PC4
Vespertilionidae,Myotis,grisescens,Myotis grisescens,254,Myotis_grisescens,0,0,0,0,0,37.56667341,0.806179974,6.4,1.636086515,43.25999999,1.035029282,10.83999999,1,923.5745774,852990,36.2974014,-86.5483017,16,5.097604329,125200,G,471.24,H,Pred,Y,NT,I,4.605270171,NA,-90.17843675,PC1,PC4
Vespertilionidae,Myotis,leibii,Myotis leibii,255,Myotis_leibii,0,0,0,0,0,35.90076342,0.785329835,6.1,1.511749711,32.48999997,0.717670503,5.22,1,1192.870488,1422940.001,39.8989983,-81.5295029,16,1.230448921,16.99999999,G,NA,H,Pred,Y,LC,S,3.989326806,2.644120761,-104.8594794,PC1,PC4
Vespertilionidae,Myotis,longipes,Myotis longipes,256,Myotis_longipes,0,0,0,0,0,NA,NA,NA,1.556181847,35.99000003,0.857332496,7.199999993,NA,247.9487882,61478.60157,31.6355991,78.2115021,88,NA,NA,NA,NA,NA,Pred,N,DD,U,1.818446459,NA,18.65424663,PC1,PC4
Vespertilionidae,Myotis,macrodactylus,Myotis macrodactylus,257,Myotis_macrodactylus,0,0,0,0,0,NA,NA,NA,1.583878598,38.35999996,0.873901598,7.480000002,NA,826.1404239,682508,39.0894012,133.9459991,30,NA,NA,NA,NA,NA,Pred,NA,LC,U,3.093102195,NA,-70.86667781,PC1,PC4
Vespertilionidae,Nyctalus,plancyi,Nyctalus plancyi,258,Nyctalus_plancyi,0,0,0,0,0,NA,NA,NA,NA,NA,1.180412633,15.15000001,NA,1384.127884,1915809.999,28.6767998,112.4509964,94,NA,NA,NA,NA,NA,Pred,NA,LC,U,2.776472281,NA,-37.28614341,PC1,PC1
Vespertilionidae,Philetor,brachypterus,Philetor brachypterus,259,Philetor_brachypterus,0,0,0,0,0,NA,NA,NA,1.537819095,34.49999999,1.079181246,12,NA,1147.675912,1317159.999,-1.95332,129.7230072,252,NA,NA,C,NA,NA,Pred,NA,LC,U,0.881373587,NA,133.604366,PC1,PC1
Vespertilionidae,Rhogeessa,parvula,Rhogeessa parvula,260,Rhogeessa_parvula,0,0,0,0,0,NA,NA,NA,1.462397998,29.00000001,0.653212514,4.500000002,NA,669.9805967,448874,20.8526993,-102.9520035,101,NA,NA,NA,NA,NA,Pred,NA,LC,S,1.818446459,NA,8.646593239,PC1,PC1
Mormoopidae,Mormoops,megalophylla,Mormoops megalophylla,261,Mormoops_megalophylla,0,0,0,0,0,43.5580453,0.851258349,7.100000005,1.757965098,57.27500002,1.195899652,15.69999999,1,1933.507176,3738450,17.3099995,-90.9348984,262,5.698970004,499999.9996,CV,NA,NT,Pred,Y,LC,D,3.829113652,2.644120761,100.7636773,PC3,PC13
Natalidae,Natalus,tumidirostris,Natalus tumidirostris,262,Natalus_tumidirostris,0,0,0,0,0,NA,NA,NA,1.596597096,39.50000003,0.838849091,6.900000004,1,1179.347277,1390860,6.9981298,-64.5735016,177,2.477121255,300.0000002,CV,NA,T,Pred,NA,LC,U,2.776472281,NA,56.87775735,PC2,PC9
Nycteridae,Nycteris,thebaica,Nycteris thebaica,263,Nycteris_thebaica,0,0,0,0,0,28.32759172,0.740362689,5.499999994,1.655618584,45.25000005,0.949390007,8.900000007,1.5,3794.245643,14396300,-0.947046,23.1739006,208,0.812913357,6.500000005,G,NA,NA,Pred,N,LC,U,4.060740143,2.99822295,-54.67707869,PC4,PC24
Phyllostomidae,Carollia,subrufa,Carollia subrufa,264,Carollia_subrufa,0,0,0,0,0,NA,NA,NA,1.595606435,39.41000001,1.199755177,15.83999999,2,460.7027241,212247,14.4839001,-89.7388,117,NA,NA,G,NA,NA,Phyto,NA,LC,S,1.818446459,1.443635475,36.05566871,PC3,PC12
Phyllostomidae,Platyrrhinus,lineatus,Platyrrhinus lineatus,265,Platyrrhinus_lineatus,0,0,0,0,0,45.44572916,0.785329835,6.1,1.66829271,46.58999995,1.354108439,22.59999999,2,2409.933609,5807780,-16.243,-53.3642998,221,NA,NA,NA,122.4,NA,Phyto,NA,LC,S,4.025670416,NA,33.79062499,PC3,PC12
Vespertilionidae,Scotophilus,nigrita,Scotophilus nigrita,266,Scotophilus_nigrita,0,0,0,0,0,NA,NA,NA,1.900367129,79.50000006,2.005609445,101.2999999,NA,1481.408114,2194570,-1.86233,16.9130993,141,NA,NA,NA,NA,NA,Pred,Y,LC,D,1.818446459,NA,4.410489003,PC1,PC3
Phyllostomidae,Platyrrhinus,helleri,Platyrrhinus helleri,267,Platyrrhinus_helleri,0,0,0,0,0,43.8618,0.808481057,6.434000006,1.580810973,38.09000003,1.139879086,13.79999999,2,3164.680079,10015200,-2.7635801,-65.3277969,275,NA,NA,G,NA,T,Phyto,NA,LC,S,3.259572556,NA,46.6445672,PC3,PC12
Pteropodidae,Epomops,franqueti,Epomops franqueti,268,Epomops_franqueti,0,0,0,0,0,40.612485,0.812913357,6.500000005,1.945714714,88.24999999,2.079181246,120,2,2123.414703,4508890.001,-0.412731,19.3283997,149,0.301029996,2.000000002,NA,NA,NA,Phyto,NA,LC,S,3.179785438,NA,-22.58939674,PC7,PC41
